Source,Target,Weight
MESH:C535318,MESH:D001172,0.002775850104094379
MESH:C535318,MESH:D001932,0.0034698126301179735
MESH:C535318,MESH:D001943,0.0024288688410825814
MESH:C535318,MESH:D002493,0.001040943789035392
MESH:C535318,MESH:D003424,0.002775850104094379
MESH:C535318,MESH:D004194,0.002775850104094379
MESH:C535318,MESH:D007249,0.003122831367106176
MESH:C535318,MESH:D007938,0.0017349063150589867
MESH:C535318,MESH:D008223,0.001040943789035392
MESH:C535318,MESH:D008228,0.0034698126301179735
MESH:C535318,MESH:D008545,0.002081887578070784
MESH:C535318,MESH:D009123,0.0017349063150589867
MESH:C535318,MESH:D009220,0.0013879250520471894
MESH:C535318,MESH:D009369,0.015961138098542677
MESH:C535318,MESH:D009422,0.003122831367106176
MESH:C535318,MESH:D013734,0.0017349063150589867
MESH:C535318,MESH:D015212,0.002775850104094379
MESH:C535318,MESH:D015275,0.001040943789035392
MESH:C535318,MESH:D015456,0.0017349063150589867
MESH:C535318,MESH:D015459,0.001040943789035392
MESH:C535318,MESH:D017118,0.0034698126301179735
MESH:C535318,MESH:D020022,0.003122831367106176
MESH:C535318,MESH:D059327,0.0034698126301179735
MESH:C535318,OMIM:193235,0.0017349063150589867
MESH:C535318,OMIM:609698,0.001040943789035392
MESH:C535323,MESH:D009190,0.001040943789035392
MESH:C535323,MESH:D054221,0.001040943789035392
MESH:C535326,MESH:D009050,0.0017349063150589867
MESH:C535326,MESH:D012516,0.0017349063150589867
MESH:C535330,MESH:D009369,0.0013879250520471894
MESH:C535330,MESH:D009800,0.0013879250520471894
MESH:C535339,MESH:D003103,0.002081887578070784
MESH:C535341,MESH:D001932,0.0013879250520471894
MESH:C535341,MESH:D002869,0.002081887578070784
MESH:C535341,MESH:D007827,0.002775850104094379
MESH:C535341,MESH:D009369,0.0013879250520471894
MESH:C535341,MESH:D015473,0.002081887578070784
MESH:C535349,MESH:D000860,0.0017349063150589867
MESH:C535349,MESH:D008113,0.004510756419153366
MESH:C535376,MESH:C536444,0.0013879250520471894
MESH:C535376,MESH:D002102,0.0006939625260235947
MESH:C535376,MESH:D003316,0.0013879250520471894
MESH:C535376,MESH:D020790,0.0013879250520471894
MESH:C535377,MESH:D001932,0.003122831367106176
MESH:C535377,MESH:D002493,0.003122831367106176
MESH:C535377,MESH:D005910,0.003122831367106176
MESH:C535377,MESH:D006331,0.0017349063150589867
MESH:C535377,MESH:D008527,0.003122831367106176
MESH:C535377,MESH:D009369,0.0034698126301179735
MESH:C535377,MESH:D035583,0.0017349063150589867
MESH:C535382,MESH:C538457,0.001040943789035392
MESH:C535382,MESH:D007683,0.002081887578070784
MESH:C535382,MESH:D018754,0.002081887578070784
MESH:C535386,MESH:C536507,0.0013879250520471894
MESH:C535386,MESH:D002659,0.0013879250520471894
MESH:C535387,MESH:D003731,0.0006939625260235947
MESH:C535387,MESH:D005359,0.004510756419153366
MESH:C535387,MESH:D055501,0.004510756419153366
MESH:C535387,MESH:D056660,0.004510756419153366
MESH:C535387,MESH:D059466,0.002775850104094379
MESH:C535387,OMIM:612348,0.002775850104094379
MESH:C535390,MESH:C536751,0.0034698126301179735
MESH:C535390,MESH:C537389,0.0013879250520471894
